t,temperature,free_energy,internal_energy,entropy,partition_quotient,cache_thermal_index,neuromorphic_energy_ratio,learning_loss,phase_event
204,69.17304468,35.43844952,37.05292652,0.02333968,0.54113145,0.00563518,0.85037966,37.05292652,0.0
205,69.14206197,35.12346455,36.73816363,0.02335335,0.54347748,0.00563765,0.85228076,36.73816363,0.0
206,69.11005670,34.44255989,36.14244739,0.02459682,0.54872944,0.00564032,0.82742464,36.14244739,0.0
207,69.07702035,34.65865971,36.17916638,0.02201176,0.54688512,0.00564307,0.86107006,36.17916638,0.0
208,69.04294465,35.22038880,36.85237706,0.02363729,0.54231943,0.00564581,0.85300038,36.85237706,0.0
209,69.00782158,36.31438140,37.92481343,0.02333695,0.53365117,0.00564874,0.85897005,37.92481343,0.0
210,68.97164344,35.51838267,36.90748043,0.02014013,0.53969670,0.00565166,0.88461405,36.90748043,0.0
211,68.93440276,34.88453356,36.44070472,0.02257467,0.54453056,0.00565466,0.86346527,36.44070472,0.0
212,68.89609238,35.80391385,37.36323118,0.02263289,0.53716119,0.00565786,0.86711570,37.36323118,0.0
213,68.85670540,37.66680302,39.16006761,0.02168655,0.52266795,0.00566115,0.87183787,39.16006761,0.0
214,68.81623523,36.99669520,38.37639360,0.02004902,0.52761261,0.00566454,0.88317171,38.37639360,0.0
215,68.77467556,35.30548758,36.71905211,0.02055356,0.54057209,0.00566802,0.86996481,36.71905211,0.0
216,68.73202038,35.15801182,36.59474905,0.02090346,0.54156066,0.00567149,0.86978932,36.59474905,0.0
217,68.68826396,34.93062408,36.49113751,0.02271878,0.54317940,0.00567505,0.85476824,36.49113751,0.0
218,68.64340090,34.39323436,35.90655229,0.02204608,0.54726656,0.00567881,0.86224493,35.90655229,0.0
219,68.59742608,34.22976134,35.69883716,0.02141590,0.54838812,0.00568267,0.86146055,35.69883716,0.0
220,68.55033469,33.16540396,34.58904864,0.02076787,0.55677830,0.00568663,0.86399193,34.58904864,0.0
221,68.50212225,33.64250283,35.01517314,0.02003836,0.55272572,0.00569059,0.87248642,35.01517314,0.0
222,68.45278456,32.99467805,34.31184310,0.01924195,0.55778397,0.00569464,0.87408308,34.31184310,0.0
223,68.40231776,32.57178608,33.96697987,0.02039688,0.56104356,0.00569889,0.86323195,33.96697987,0.0
224,68.35071829,31.28377814,32.57311912,0.01886361,0.57151068,0.00570325,0.87668346,32.57311912,0.0
225,68.29798292,30.53012951,32.01370366,0.02172208,0.57764788,0.00570771,0.84668312,32.01370366,0.0
226,68.24410874,30.48971442,32.03417840,0.02263146,0.57778614,0.00571226,0.83552588,32.03417840,0.0
227,68.18909314,30.81912663,32.39095041,0.02305096,0.57479444,0.00571692,0.84081321,32.39095041,0.0
228,68.13293387,31.43664964,32.91800876,0.02174219,0.56939616,0.00572169,0.85258642,32.91800876,0.0
229,68.07562897,32.65309197,34.15325205,0.02203667,0.55909480,0.00572655,0.85441793,34.15325205,0.0
230,68.01717684,32.77096693,34.22888406,0.02143454,0.55789671,0.00573153,0.85967418,34.22888406,0.0
231,67.95757619,31.22105318,32.79486849,0.02315879,0.57052578,0.00573660,0.84055163,32.79486849,0.0
232,67.89682605,31.92257499,33.47617381,0.02288176,0.56442929,0.00574169,0.84166131,33.47617381,0.0
233,67.83492579,32.31613324,33.91742209,0.02360567,0.56092342,0.00574688,0.84265430,33.91742209,0.0
234,67.77187511,31.84373176,33.41731185,0.02321878,0.56459668,0.00575218,0.84047830,33.41731185,0.0
235,67.70767405,33.21651800,34.77672683,0.02304331,0.55301820,0.00575759,0.84926824,34.77672683,0.0
236,67.64232296,33.34751291,34.86099311,0.02237475,0.55168673,0.00576310,0.85587437,34.86099311,0.0
237,67.57582253,33.79537459,35.23841771,0.02135443,0.54777667,0.00576883,0.85738471,35.23841771,0.0
238,67.50817380,33.96512952,35.44566093,0.02193114,0.54612721,0.00577466,0.85344993,35.44566093,0.0
239,67.43937810,32.89230705,34.41628591,0.02259776,0.55459973,0.00578059,0.84607724,34.41628591,0.0
240,67.36943713,33.13323167,34.53480393,0.02080427,0.55234018,0.00578664,0.87013371,34.53480393,0.0
241,67.29835289,34.17385562,35.57423395,0.02080851,0.54358267,0.00579281,0.87080939,35.57423395,0.0
242,67.22612773,33.95256163,35.21706469,0.01880970,0.54507752,0.00579908,0.88094878,35.21706469,0.0
243,67.15276431,34.15941683,35.48872523,0.01979529,0.54310132,0.00580527,0.87347338,35.48872523,0.0
244,67.07826564,33.67342992,34.91983535,0.01858136,0.54674145,0.00581140,0.88188760,34.91983535,0.0
245,67.00263503,34.25166082,35.54630960,0.01932236,0.54173633,0.00581800,0.88013401,35.54630960,0.0
246,66.92587612,34.51730014,35.77953327,0.01886017,0.53927408,0.00582473,0.89072912,35.77953327,0.0
